Tensile Modulus (MPa),Tensile Strength (MPa),Flexural strength (MPa),Flexural Modulus (MPa),Glass Transition Temperature (degree celsius),Shore Hardness D (),Density (g/cm3)
Tensile Modulus (MPa),Tensile Strength (MPa),Flexural strength (MPa),Flexural Modulus (MPa),Glass Transition Temperature (degree celsius),Shore Hardness D (),Density (g/cm3)
8340,99.5,,,58,,1.17
1915,47.5,,,,,1.13
2850,57.5,105,2800,,87.5,
3600,52.5,82.5,2400,,84.5,
,,150,2250,,,
10500,40,150,10500,,94,
1590,31,44,1450,,83,
1344.5,31,45,1382.5,,81,
701.5,18.5,27,834,58.5,72,
2765,50.35,68.65,2205,42.5,,
2410,30.9,68,2290,37,80,1.17
2656,42,,,,,
2964,,,2654,,82,1.12
2510,37,67.3,2200,42,79,1.16
2510,37,67.3,2200,,79,
2430,32.8,69.3,2470,45,82,
3127.5,,,1930,44,84,
10500,68,120,10000,72,94,
10135,63.3,119,8273,70,92,1.61
2680,53.3,82.8,2420,78.5,84.5,
2245,43,68.6,2060,58,87,
2210,47.2,74,2220,69,85.5,
3520,70.2,109,3320,74,85.3,
2240,,73,2054,,83,1.13
2880,55.5,83.5,2490,44,86.5,1.13
2765,50.35,68.65,2205,42.5,,1.12
50,16,,,,,1.16
130,18.5,,,,,1.25
150,14,,132.5,,,0.95
,,,,,,1.09
5700,80,,,,,1.15
4300,75,,,,,1.29
1340,30,94.6,2105,,87,
,,,,,25,
,,,,,25,
8,5,,,,27,
7,4,,,,28,
,,,,,70,
,,14.2,280,,64,
,,9.8,267,,57,
,,5.2,95,,48,
,,5.3,130,,47,
,,10,133,,66,
,,,,,77,
,,,,,49,
,,45.9,1054,,80,
,,,,,78,
,,,,,22,
1400,35,60,1600,,80,
1400,35,60,1600,,80,
1360,32,58,1450,,78,
1550,40,64,1410,,83,
1400,36,62,1400,,83,
,,76,1670,,86,
2060,37,80.8,2610,,92,
1620,40,78,1870,,86,
,,73.1,1820,,88,
,,85.5,3120,,92,
1225,36,62.5,1450,,84,
2800,42.5,107.5,3500,,91.5,
,,93,2700,,92,
4100,42,80,3900,,91,
,,77.8,2510,,87,
,,102,7300,,94,
,,61.7,1478,,86,
1460,38,68,1680,,82,
1380,32,60,1300,,80,
1340,30,94.6,2105,,87,
1900,28,,2100,,,
,35,67,1800,,,
,52,64,1575,,,
138.5,15.5,,,,,0.99
,22,,150,,55,
70000,105,,,,,2.7
93000,315,,,,,2.91
96000,455,,,,,2.97
79000,496,,,,,2.82
76000,315,,,,,2.73
119000,210,,,,,8.9
1350,,,,37,,1.01
3500,96,,,143,,
3700,95,,,143,,1.3
17500,190,,,143,,1.38
3600,100,,,143,,1.3
3830,96,,,150,,
10900,105,,,143,,1.67
,85,,,,,1.27
,71,,,216,,1.34
2650,,,,228,,1.37
2600,63,,,-60,,1.39
1500,32,40,1500,,,1.32
2270,,,,220,,1.29
2550,,,,187,,1.234
2100,40,,,,,1.78
1772,65,108,2543,123,85,
2390,60,81,1720,123,85,
4420,66,93,2520,,86,
,,,,,,1.08
,,,,,,
,,,,,89,
4650,90.5,142,3420,,87,
2700,44,70,1350,,83.5,
,56,115,3350,109,,
,,85,2100,,89.5,
,,85,2100,,85,
1570,39,57,1440,,,
,,80.9,2123,,,
,,80,2000,,85,
,,,,,,1.05
13.6,4.47,,,,,
2000,49.1,106,2540,,83,
1772,65,108,2543,,80,
,57,129,3155,,,
,16.8,23,404,,69,1.178
4515,67,111.5,3205,,87.5,
1500,34,52,1500,,87,
3100,70.5,123,3455,,87,
,,,,,,1.05
2400,57.8,103,2300,,69,
,51.6,88.4,1920,,69,1.185
,,,,,,1.3
,,,,,,
,51.6,88.4,1920,123,85,1.185
,,,,,,
,4.46,,,,,1.6
,,,,,,1.05
4660,49.4,82,5220,,89,
,9,,,,,
3000,,,,,,
,56,115,3350,,,
1800,60,,,,,1.1
,,,,,,
,16.8,23,404,,69,1.178
,56,115,3350,,,
,49.7,79.7,1960,,,1.215
1496,35.6,81,2289,,,
1377.5,50,75,2450,50,,
1377.5,35,42.5,1286.5,,,
2250,54,90,2500,,85,
,46,102,3860,,,
,46,102,3860,,,
4890,35.4,102,3860,,,
,39,106,3760,,,
,38,104,3800,,,
,14.8,,,,69,1.32
3800,48,72,3600,,76,1.36
4150,48.5,,,,,1.04
72500,460,,,,,2.67
,1250,,195000,,,8.3
200000,1350,,,,,8.5
160000,1100,,,,,8
185000,785,,,,,8.2
155000,945,,,,,8.4
160000,1015,,,,,8.15
4250,90,133,4100,163,,1.31
,770,,,,,7.7
,900.6,,,,,7.79
182500,587.5,,,,,7.9
,1080,,,,,7.7
170000,975,,,,,7.8
,1100,,,,,7.8
110000,1215,,,,,4.41
108000,1250,,,,,4.41
95000,455,,,,,4.5
,,,,,,
1600,48,,,,75,0.99
1500,41.5,,1500,,75,0.93
1585,48,,,,,0.99
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1750,45,,,,,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1548,32.5,60.5,1478,76,,
1796,36.5,,,,,
2663.5,88.5,,,,,
3105.5,52,84.5,2737,57.5,,
,27.5,,,,73,
,19.5,,,,,
,9.5,,,,,
,17,,,,,
